entity,thing,type1
Jerry Springer,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Kim Jong-il,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Chester A. Arthur,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Bal Gangadhar Tilak,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Jean-Claude Juncker,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Gordon Brown,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Rutherford B. Hayes,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Marcus Mosiah Garvey Jr,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
"Arthur Wellesley, 1st Duke of Wellington",political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Bob Hawke,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
P. V. Narasimha Rao,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Morarji Desai,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Rand Paul,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Imelda Marcos,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Clement Attlee,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Georgy Malenkov,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Rajendra Prasad,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Harold Macmillan,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Booker T. Washington,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Tim Kaine,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Mahinda Rajapaksa,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
John C. Calhoun,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
M G Ramachandran,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Betsy DeVos,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Yasser Arafat,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Gamal Abdel Nasser,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Al Franken,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Ron Paul,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Robert Todd Lincoln,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Harold Wilson,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Charlie Baker,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Ali Khamenei,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Vyacheslav Molotov,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Nicolás Maduro,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Tammy Duckworth,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Bruce Vincent Rauner ,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Lorenzo de' Medici,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Rick Santorum ,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Pompey,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Dilma Rousseff,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Gabrielle Giffords,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
V. V. Giri,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
David Lloyd George,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Oswald Mosley,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Henry Clay,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
